slot,benchmark_total_difficulty,branch_a_total_difficulty,branch_b_total_difficulty
300,600,0,0
301,602,0,0
302,604,0,0
303,606,0,0
304,608,0,0
305,610,0,0
306,612,0,0
307,614,0,0
308,616,0,0
309,618,0,0
310,620,0,0
311,622,0,0
312,624,0,0
313,626,0,0
314,628,0,0
315,630,0,0
316,632,0,0
317,634,0,0
318,636,0,0
319,638,0,0
320,640,0,0
321,642,0,0
322,644,0,0
323,646,0,0
324,648,0,0
325,650,0,0
326,652,0,0
327,654,0,0
328,656,0,0
329,658,0,0
330,660,0,0
331,662,0,0
332,664,0,0
333,666,0,0
334,668,0,0
335,670,0,0
336,672,0,0
337,674,0,0
338,676,0,0
339,678,0,0
340,680,0,0
341,682,0,0
342,684,0,0
343,686,0,0
344,688,0,0
345,690,0,0
346,692,0,0
347,694,0,0
348,696,0,0
349,698,0,0
350,700,0,0
351,702,0,0
352,704,0,0
353,706,0,0
354,708,0,0
355,710,0,0
356,712,0,0
357,714,0,0
358,716,0,0
359,718,0,0
360,720,0,0
361,722,0,0
362,724,0,0
363,726,0,0
364,728,0,0
365,730,0,0
366,732,0,0
367,734,0,0
368,736,0,0
369,738,0,0
370,740,0,0
371,742,0,0
372,744,0,0
373,746,0,0
374,748,0,0
375,750,0,0
376,752,0,0
377,754,0,0
378,756,0,0
379,758,0,0
380,760,0,0
381,762,0,0
382,764,0,0
383,766,0,0
384,768,0,0
385,770,0,0
386,772,0,0
387,774,0,0
388,776,0,0
389,778,0,0
390,780,0,0
391,782,0,0
392,784,0,0
393,786,0,0
394,788,0,0
395,790,0,0
396,792,0,0
397,794,0,0
398,796,796,795
399,798,797,797
400,800,799,798
401,802,800,800
402,804,802,801
403,806,803,803
404,808,805,804
405,810,806,806
406,812,808,807
407,814,809,808
408,816,810,810
409,818,812,811
410,820,813,813
411,822,814,814
412,824,816,815
413,826,818,817
414,828,819,818
415,830,820,819
416,832,822,820
417,834,824,822
418,836,826,824
419,838,828,826
420,840,830,828
421,842,832,830
422,844,833,832
423,846,834,833
424,848,835,835
425,850,837,836
426,852,838,838
427,854,840,840
428,856,841,842
429,858,843,843
430,860,845,845
431,862,847,846
432,864,849,847
433,866,851,848
434,868,853,850
435,870,854,851
436,872,855,853
437,874,857,854
438,876,859,856
439,878,861,858
440,880,863,860
