slot,benchmark_total_difficulty,branch_a_total_difficulty,branch_b_total_difficulty
300,600,0,0
301,602,0,0
302,604,0,0
303,606,0,0
304,608,0,0
305,610,0,0
306,612,0,0
307,614,0,0
308,616,0,0
309,618,0,0
310,620,0,0
311,622,0,0
312,624,0,0
313,626,0,0
314,628,0,0
315,630,0,0
316,632,0,0
317,634,0,0
318,636,0,0
319,638,0,0
320,640,0,0
321,642,0,0
322,644,0,0
323,646,0,0
324,648,0,0
325,650,0,0
326,652,0,0
327,654,0,0
328,656,0,0
329,658,0,0
330,660,0,0
331,662,0,0
332,664,0,0
333,666,0,0
334,668,0,0
335,670,0,0
336,672,0,0
337,674,0,0
338,676,0,0
339,678,0,0
340,680,0,0
341,682,0,0
342,684,0,0
343,686,0,0
344,688,0,0
345,690,0,0
346,692,0,0
347,694,0,0
348,696,0,0
349,698,0,0
350,700,0,0
351,702,0,0
352,704,0,0
353,706,0,0
354,708,0,0
355,710,0,0
356,712,0,0
357,714,0,0
358,716,0,0
359,718,0,0
360,720,0,0
361,722,0,0
362,724,0,0
363,726,0,0
364,728,0,0
365,730,0,0
366,732,0,0
367,734,0,0
368,736,0,0
369,738,0,0
370,740,0,0
371,742,0,0
372,744,0,0
373,746,0,0
374,748,0,0
375,750,0,0
376,752,0,0
377,754,0,0
378,756,0,0
379,758,0,0
380,760,0,0
381,762,0,0
382,764,0,0
383,766,0,0
384,768,0,0
385,770,0,0
386,772,0,0
387,774,0,0
388,776,0,0
389,778,0,0
390,780,0,0
391,782,0,0
392,784,0,0
393,786,0,0
394,788,0,0
395,790,0,0
396,792,0,0
397,794,0,0
398,796,0,0
399,798,0,0
400,800,0,0
401,802,0,0
402,804,0,0
403,806,0,0
404,808,0,0
405,810,0,0
406,812,0,0
407,814,0,0
408,816,0,0
409,818,0,0
410,820,0,0
411,822,0,0
412,824,0,0
413,826,0,0
414,828,0,0
415,830,0,0
416,832,0,0
417,834,0,0
418,836,0,0
419,838,0,0
420,840,0,0
421,842,0,0
422,844,0,0
423,846,0,0
424,848,0,0
425,850,0,0
426,852,0,0
427,854,0,0
428,856,0,0
429,858,0,0
430,860,0,0
431,862,0,0
432,864,0,0
433,866,0,0
434,868,0,0
435,870,0,0
436,872,0,0
437,874,0,0
438,876,0,0
439,878,0,0
440,880,0,0
441,882,0,0
442,884,0,0
443,886,0,0
444,888,0,0
445,890,0,0
446,892,0,0
447,894,0,0
448,896,0,0
449,898,0,0
450,900,0,0
451,902,0,0
452,904,0,0
453,906,0,0
454,908,0,0
455,910,0,0
456,912,0,0
457,914,0,0
458,916,0,0
459,918,0,0
460,920,0,0
461,922,0,0
462,924,0,0
463,926,0,0
464,928,0,0
465,930,0,0
466,932,0,0
467,934,0,0
468,936,0,0
469,938,0,0
470,940,0,0
471,942,0,0
472,944,0,0
473,946,0,0
474,948,0,0
475,950,0,0
476,952,0,0
477,954,0,0
478,956,0,0
479,958,0,0
480,960,0,0
481,962,0,0
482,964,0,0
483,966,0,0
484,968,0,0
485,970,0,0
486,972,0,0
487,974,0,0
488,976,0,0
489,978,0,0
490,980,0,0
491,982,0,0
492,984,0,0
493,986,0,0
494,988,0,0
495,990,0,0
496,992,0,0
497,994,0,0
498,996,0,0
499,998,0,0
500,1000,0,0
501,1002,0,0
502,1004,0,0
503,1006,0,0
504,1008,0,0
505,1010,0,0
506,1012,0,0
507,1014,0,0
508,1016,0,0
509,1018,0,0
510,1020,0,0
511,1022,0,0
512,1024,0,0
513,1026,0,0
514,1028,0,0
515,1030,0,0
516,1032,0,0
517,1034,0,0
518,1036,0,0
519,1038,0,0
520,1040,0,0
521,1042,0,0
522,1044,0,0
523,1046,0,0
524,1048,0,0
525,1050,0,0
526,1052,0,0
527,1054,0,0
528,1056,0,0
529,1058,0,0
530,1060,0,0
531,1062,0,0
532,1064,0,0
533,1066,0,0
534,1068,0,0
535,1070,0,0
536,1072,0,0
537,1074,0,0
538,1076,0,0
539,1078,0,0
540,1080,0,0
541,1082,0,0
542,1084,0,0
543,1086,0,0
544,1088,0,0
545,1090,0,0
546,1092,0,0
547,1094,0,0
548,1096,0,0
549,1098,0,0
550,1100,0,0
551,1102,0,0
552,1104,0,0
553,1106,0,0
554,1108,0,0
555,1110,0,0
556,1112,0,0
557,1114,0,0
558,1116,0,0
559,1118,0,0
560,1120,0,0
561,1122,0,0
562,1124,0,0
563,1126,0,0
564,1128,0,0
565,1130,0,0
566,1132,0,0
567,1134,0,0
568,1136,0,0
569,1138,0,0
570,1140,0,0
571,1142,0,0
572,1144,0,0
573,1146,0,0
574,1148,0,0
575,1150,0,0
576,1152,0,0
577,1154,0,0
578,1156,0,0
579,1158,0,0
580,1160,0,0
581,1162,0,0
582,1164,0,0
583,1166,0,0
584,1168,0,0
585,1170,0,0
586,1172,0,0
587,1174,0,0
588,1176,0,0
589,1178,0,0
590,1180,0,0
591,1182,0,0
592,1184,0,0
593,1186,0,0
594,1188,0,0
595,1190,0,0
596,1192,0,0
597,1194,0,0
598,1196,0,0
599,1198,0,0
600,1200,0,0
601,1202,0,0
602,1204,0,0
603,1206,0,0
604,1208,0,0
605,1210,0,0
606,1212,0,0
607,1214,0,0
608,1216,0,0
609,1218,0,0
610,1220,0,0
611,1222,0,0
612,1224,0,0
613,1226,0,0
614,1228,0,0
615,1230,0,0
616,1232,0,0
617,1234,0,0
618,1236,0,0
619,1238,0,0
620,1240,0,0
621,1242,0,0
622,1244,0,0
623,1246,0,0
624,1248,0,0
625,1250,0,0
626,1252,0,0
627,1254,0,0
628,1256,0,0
629,1258,0,0
630,1260,0,0
631,1262,0,0
632,1264,0,0
633,1266,0,0
634,1268,0,0
635,1270,0,0
636,1272,0,0
637,1274,0,0
638,1276,0,0
639,1278,0,0
640,1280,0,0
641,1282,0,0
642,1284,0,0
643,1286,0,0
644,1288,0,0
645,1290,0,0
646,1292,0,0
647,1294,0,0
648,1296,0,0
649,1298,0,0
650,1300,0,0
651,1302,0,0
652,1304,0,0
653,1306,0,0
654,1308,0,0
655,1310,0,0
656,1312,0,0
657,1314,0,0
658,1316,0,0
659,1318,0,0
660,1320,0,0
661,1322,0,0
662,1324,0,0
663,1326,0,0
664,1328,0,0
665,1330,0,0
666,1332,0,0
667,1334,0,0
668,1336,0,0
669,1338,0,0
670,1340,0,0
671,1342,0,0
672,1344,0,0
673,1346,0,0
674,1348,0,0
675,1350,0,0
676,1352,0,0
677,1354,0,0
678,1356,0,0
679,1358,0,0
680,1360,0,0
681,1362,0,0
682,1364,0,0
683,1366,0,0
684,1368,0,0
685,1370,0,0
686,1372,0,0
687,1374,0,0
688,1376,0,0
689,1378,0,0
690,1380,0,0
691,1382,0,0
692,1384,0,0
693,1386,0,0
694,1388,0,0
695,1390,0,0
696,1392,0,0
697,1394,0,0
698,1396,0,0
699,1398,0,0
700,1400,0,0
701,1402,0,0
702,1404,0,0
703,1406,0,0
704,1408,0,0
705,1410,0,0
706,1412,0,0
707,1414,0,0
708,1416,0,0
709,1418,0,0
710,1420,0,0
711,1422,0,0
712,1424,0,0
713,1426,0,0
714,1428,0,0
715,1430,0,0
716,1432,0,0
717,1434,0,0
718,1436,0,0
719,1438,0,0
720,1440,0,0
721,1442,0,0
722,1444,0,0
723,1446,0,0
724,1448,0,0
725,1450,0,0
726,1452,0,0
727,1454,0,0
728,1456,0,0
729,1458,0,0
730,1460,0,0
731,1462,0,0
732,1464,0,0
733,1466,0,0
734,1468,0,0
735,1470,0,0
736,1472,0,0
737,1474,0,0
738,1476,0,0
739,1478,0,0
740,1480,0,0
741,1482,0,0
